,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,rule1,rule2,rule3,rule4
0,1,0,1,0,-1,0,-1,1,1,-1,1,1,0,1,-1,0,0,-1,0,1,-1,-1,1,"(False, False)","(True, False)","(True, True)","(False, True)"
1,1,0,1,0,-1,0,-1,0,1,0,1,0,-1,-2,-2,0,1,-2,1,2,-1,-1,-1,"(True, False)","(True, True)","(False, True)","(False, False)"
2,2,0,-1,1,0,-1,-1,1,1,0,2,-1,1,1,2,0,2,-2,1,0,0,0,0,"(True, False)","(False, False)","(True, True)","(False, True)"
3,1,0,1,0,0,0,-2,1,0,0,-1,1,0,1,-2,1,1,-2,1,1,0,0,1,"(True, True)","(True, False)","(False, False)","(False, True)"
4,1,1,0,0,2,1,-2,1,1,1,0,0,-1,0,2,1,1,-2,1,-1,-1,-1,-2,"(False, True)","(False, False)","(True, False)","(True, True)"
5,-1,0,0,-1,-2,1,-1,1,-1,0,-1,-2,0,2,1,-1,0,-2,1,2,-1,-1,0,"(True, False)","(False, True)","(True, True)","(False, False)"
6,2,0,2,1,0,0,2,1,1,0,0,1,1,0,0,0,1,2,1,2,0,-1,1,"(False, False)","(False, True)","(True, False)","(True, True)"
7,0,0,1,0,0,0,2,1,1,0,0,2,0,0,0,0,-1,0,0,1,0,1,0,"(True, False)","(False, False)","(False, True)","(True, True)"
8,0,0,0,0,-1,0,-2,1,-1,0,-1,-1,0,0,-1,1,0,-1,1,0,0,-1,-1,"(True, True)","(False, True)","(False, False)","(True, False)"
9,1,0,1,0,2,1,-2,1,2,1,2,1,1,-2,0,0,1,0,1,1,-1,0,1,"(True, True)","(False, False)","(False, True)","(True, False)"
10,2,1,2,1,-2,1,-1,1,2,1,1,2,1,1,-1,1,1,-2,1,1,-1,1,1,"(True, False)","(True, True)","(False, True)","(False, False)"
11,1,-1,1,1,-1,1,0,0,1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,"(False, True)","(True, False)","(False, False)","(True, True)"
12,1,0,-1,1,2,1,0,-1,-1,-1,-1,-2,1,2,-2,0,1,1,-1,1,-1,0,-1,"(True, True)","(False, True)","(False, False)","(True, False)"
13,2,1,-1,0,-1,-1,-2,1,-1,0,-1,1,0,1,-1,0,2,-2,1,-1,-1,-1,1,"(False, False)","(True, False)","(True, True)","(False, True)"
14,-2,1,1,-1,-2,1,-1,0,-2,1,2,-1,-1,0,-1,1,-1,1,0,1,-1,-1,1,"(False, False)","(False, True)","(True, False)","(True, True)"
15,1,0,1,0,-1,-1,-1,-1,1,0,-1,1,-1,-1,-2,0,0,-1,-1,0,-1,-1,-2,"(True, True)","(False, False)","(False, True)","(True, False)"
16,-1,0,1,0,-1,1,-1,1,-2,1,0,1,0,0,-1,1,-1,1,-1,1,-1,-1,1,"(False, True)","(True, False)","(False, False)","(True, True)"
17,-1,0,0,0,0,0,-2,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,"(False, True)","(False, False)","(True, False)","(True, True)"
